Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,56,11,1,32,0,0
NA,NA,NA,NA,NA,NA,,54,6,3,37,0,0
223,0,10,166,22,9,,51,3,6,40,0,0
NA,NA,NA,NA,NA,NA,,55,8,2,34,0,1
248,0,3,173,4,2,,57,7,0,35,0,1
14,173,237,0,4,2,,53,3,4,38,0,2
220,0,27,172,1,0,,56,11,1,30,0,1
217,28,4,132,2,1,,1,0,56,42,0,1
236,0,11,169,7,7,,55,7,2,35,0,1
164,15,83,154,7,7,,52,7,5,34,0,2
224,22,4,142,1,0,,55,16,2,25,0,2
245,0,3,173,6,2,,36,6,19,37,2,0
242,16,6,158,6,1,,34,42,22,1,1,0
250,0,0,174,4,1,,0,23,56,18,1,2
30,157,227,16,2,2,,56,37,0,4,1,2
29,156,222,15,8,4,,56,42,0,0,1,1
49,174,208,0,2,1,,5,25,51,17,1,1
231,37,26,137,2,1,,13,30,44,12,0,1
47,174,203,0,4,1,,4,25,52,17,1,1
227,38,26,136,1,1,,56,38,0,2,1,3
3,172,250,2,1,1,,57,0,0,43,0,0
224,40,29,134,1,1,,1,43,55,0,1,0
247,0,1,170,6,5,,56,2,0,41,1,0
248,0,2,168,4,7,,56,10,0,33,1,0
0,166,249,3,5,6,,51,1,0,36,6,6
237,21,14,146,3,8,,57,5,0,38,0,0
236,2,0,155,18,18,,6,39,48,4,3,0
221,5,19,153,14,17,,55,1,0,41,2,1
210,36,29,123,15,16,,56,42,0,0,1,1
224,157,0,0,30,18,,53,2,2,40,2,1
225,104,1,53,28,18,,53,0,1,42,3,1
232,31,5,131,17,13,,57,42,0,0,0,1
245,169,0,0,9,6,,57,2,0,41,0,0
245,0,0,170,9,5,,57,1,0,40,0,2
218,23,4,140,32,12,,56,2,0,40,1,1
216,15,5,142,33,18,,56,2,1,39,0,2
0,143,228,25,26,7,,55,4,1,38,1,1
242,0,0,172,12,3,,57,5,0,37,0,1
236,0,7,171,11,4,,47,41,10,2,0,0
18,168,228,0,8,7,,3,43,53,0,1,0
226,27,20,141,8,7,,55,29,0,12,2,2
246,28,2,140,7,7,,50,4,5,37,2,2
242,166,1,0,11,9,,56,0,1,43,0,0
243,123,0,43,11,9,,37,11,20,32,0,0
245,165,1,2,8,8,,52,2,4,41,1,0
247,162,0,5,7,8,,38,31,18,12,1,0
246,161,0,6,8,8,,14,42,42,1,1,0
237,14,5,150,12,11,,54,5,2,38,1,0
225,20,5,145,25,10,,51,0,5,43,1,0
244,3,1,165,9,7,,52,6,4,37,1,0
242,6,2,161,10,8,,55,27,0,15,2,1
247,85,2,84,5,6,,53,2,3,41,1,0
216,30,19,137,19,8,,55,0,1,43,1,0
238,164,0,0,2,1,,55,15,1,28,1,0
240,99,0,69,14,7,,52,0,4,43,1,0
235,21,6,147,13,7,,55,1,1,42,1,0
228,22,5,145,21,8,,52,0,4,43,1,0
244,2,1,169,9,4,,55,12,1,31,1,0
241,6,5,165,8,4,,55,0,1,43,1,0
215,37,38,135,6,3,,1,41,55,2,1,0
215,45,35,127,9,3,,47,15,9,28,1,0
36,157,217,16,6,2,,56,40,0,3,1,0
223,20,5,147,26,8,,53,40,3,3,1,0
205,44,35,126,14,5,,56,39,0,4,1,0
236,113,7,60,11,2,,50,1,5,42,1,0
210,94,31,78,13,3,,54,0,2,42,1,1
241,163,0,9,13,3,,56,13,0,29,1,1
110,168,133,5,11,2,,53,2,3,40,1,1
225,57,16,115,13,3,,54,0,2,42,1,1
185,171,57,0,12,4,,52,0,4,42,1,1
235,126,3,35,16,14,,50,0,6,42,1,1
242,160,0,0,12,15,,52,2,4,40,1,1
229,19,5,135,20,21,,53,2,3,39,1,2
NA,NA,NA,NA,NA,NA,,50,1,6,41,1,1
235,17,3,152,16,6,,35,38,20,4,2,1
0,69,243,99,0,1,,52,1,4,42,1,0
249,0,1,171,4,4,,54,2,2,41,1,0
250,0,0,172,4,3,,32,2,24,41,1,0
249,0,1,171,4,4,,54,0,2,43,1,0
0,60,246,113,8,2,,54,3,2,40,1,0
3,132,253,41,3,2,,54,7,2,36,1,0
1,19,255,153,3,3,,53,4,3,38,1,1
2,120,251,50,6,5,,54,0,2,43,1,0
85,1,168,167,1,4,,44,0,6,42,7,1
242,0,11,172,1,3,,52,0,5,43,0,0
239,0,13,172,2,3,,52,0,5,43,0,0
13,168,240,3,1,4,,54,0,0,43,3,0
231,3,22,168,1,4,,55,2,2,41,0,0
231,21,4,143,19,11,,56,0,1,43,0,0
247,4,1,163,6,8,,9,43,48,0,0,0
236,10,11,158,7,7,,44,26,13,17,0,0
242,9,5,160,7,6,,43,25,14,18,0,0
0,32,238,135,16,8,,54,7,3,35,0,1
NA,NA,NA,NA,NA,NA,,55,0,2,43,0,0
213,42,37,128,9,5,,55,0,1,43,1,0
249,158,4,12,6,5,,54,0,2,43,1,0
209,50,43,120,7,5,,57,0,0,43,0,0
240,46,0,119,19,10,,51,0,6,43,0,0
230,34,4,130,20,11,,56,33,0,9,1,1
219,17,2,147,33,11,,55,0,1,42,1,1
0,13,241,157,13,5,,52,0,0,37,5,6
27,115,224,52,8,8,,49,0,1,28,7,15
247,170,0,0,7,5,,53,0,4,41,0,2
209,49,36,121,9,5,,52,0,5,41,0,2
246,170,0,0,8,5,,56,0,1,42,0,1
41,138,208,34,5,3,,53,1,1,41,3,1
221,51,28,121,5,3,,55,10,0,33,2,0
240,33,6,136,8,6,,15,1,38,41,4,1
246,166,0,0,8,9,,48,2,8,40,1,1
213,18,5,132,36,25,,55,42,0,0,2,1
216,151,6,0,1,0,,53,42,2,1,2,0
223,151,4,0,27,24,,53,17,1,25,3,1
154,1,69,152,31,22,,9,31,45,9,3,3
230,17,5,145,19,13,,53,26,1,14,3,3
247,168,0,0,7,7,,56,42,0,1,1,0
248,168,0,0,6,7,,54,41,0,2,3,0
250,166,0,3,4,6,,57,6,0,37,0,0
251,169,0,1,3,5,,56,6,0,36,1,1
251,170,0,0,3,5,,47,16,6,26,4,1
3,168,244,1,7,6,,2,41,53,0,2,2
223,0,27,169,5,6,,36,25,19,16,2,2
140,0,102,166,13,9,,45,13,5,26,6,4
237,18,5,154,12,3,,10,3,44,40,3,0
247,0,1,170,6,5,,54,34,1,8,2,1
250,0,1,172,3,3,,46,40,8,3,3,0
249,0,0,172,5,3,,5,43,50,0,2,0
239,0,12,172,3,3,,39,0,16,43,2,0
226,15,5,155,23,5,,51,6,3,36,3,1
22,170,221,0,11,5,,46,6,8,35,3,2
243,0,1,167,10,8,,35,0,18,42,4,1
241,0,3,167,10,8,,47,0,6,39,4,4
2,166,244,0,8,9,,35,7,18,32,4,4
234,2,12,165,8,8,,24,2,21,32,12,9
226,11,6,149,22,15,,32,0,22,38,3,5
NA,NA,NA,NA,NA,NA,,15,1,39,37,3,5
222,20,4,133,28,22,,46,0,6,38,5,5
243,166,0,0,12,9,,48,37,5,2,4,4
234,79,8,85,13,11,,4,39,47,0,6,4
236,19,4,149,15,7,,47,0,4,39,6,4
251,168,0,0,4,7,,47,0,6,39,4,4
245,117,6,51,4,7,,53,0,1,39,3,4
231,69,15,99,9,7,,47,0,7,37,3,6
234,18,5,144,16,13,,53,39,0,0,4,4
210,2,42,165,4,8,,6,38,48,1,3,4
87,170,156,0,17,5,,50,1,4,38,3,4
33,165,214,4,14,6,,53,0,2,39,2,4
224,23,21,146,16,6,,52,0,2,43,2,1
224,24,17,145,15,6,,52,1,3,41,1,2
12,170,232,0,12,5,,51,2,5,40,0,2
174,84,70,86,12,5,,53,38,2,5,1,1
230,24,6,140,1,0,,52,1,4,41,0,2
248,4,2,166,5,6,,20,12,36,31,0,1
3,167,249,3,3,6,,47,5,9,38,0,1
238,20,14,150,3,6,,55,7,1,36,0,1
NA,NA,NA,NA,NA,NA,,27,5,29,37,0,2
32,169,219,1,9,6,,3,36,53,6,0,2
5,165,242,5,13,6,,48,5,8,36,0,3
228,33,9,131,18,12,,53,7,3,35,0,2
9,171,236,2,15,3,,56,39,0,0,0,5
8,172,235,1,17,3,,4,35,51,8,1,1
24,170,221,2,15,4,,45,28,9,15,2,1
19,162,225,5,16,9,,39,8,16,35,1,1
9,167,231,2,20,7,,33,1,22,42,1,1
NA,NA,NA,NA,NA,NA,,51,3,4,40,1,1
