Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,50,50,0,0,0,0
NA,NA,NA,NA,NA,NA,,50,50,0,0,0,0
0,198,209,2,10,8,,50,50,0,0,0,0
212,1,0,205,7,2,,50,50,0,0,0,0
204,194,0,0,15,16,,50,50,0,0,0,0
208,196,0,0,11,15,,50,25,0,24,0,1
207,196,1,0,11,15,,50,49,0,0,0,1
199,181,4,15,16,15,,50,8,0,42,0,0
208,199,0,0,0,7,,50,48,0,0,0,2
205,204,0,0,1,0,,50,49,0,0,0,1
206,204,0,0,12,7,,49,49,0,0,1,1
209,198,1,0,0,1,,48,50,0,0,2,0
210,194,0,2,0,4,,44,47,0,0,6,3
199,207,6,0,13,4,,48,46,0,0,2,4
199,202,4,0,15,9,,50,6,0,44,0,0
197,196,0,0,0,2,,0,34,49,16,1,0
204,201,2,0,12,10,,49,9,0,41,1,0
208,201,0,0,10,10,,46,4,3,46,1,0
209,201,0,0,9,10,,46,9,0,41,3,0
208,202,1,0,9,9,,46,9,2,40,1,1
206,202,0,0,12,9,,45,16,4,33,0,1
211,68,1,130,6,13,,3,50,47,0,0,0
1,158,210,46,7,7,,50,2,0,48,0,0
4,160,208,43,6,8,,43,1,6,49,1,0
211,93,0,107,7,11,,49,9,0,41,1,0
199,199,2,0,17,12,,39,28,10,20,0,2
202,197,1,0,15,14,,49,15,0,35,1,0
198,137,11,61,1,0,,49,9,0,41,1,0
215,5,0,198,3,8,,49,31,0,19,1,0
209,206,0,0,9,5,,36,3,13,47,1,0
196,205,0,0,22,6,,49,50,0,0,1,0
206,204,0,0,12,7,,7,49,42,1,1,0
205,16,13,192,1,3,,0,22,49,28,1,0
205,23,4,175,1,0,,1,35,48,15,1,0
1,172,209,30,8,9,,35,44,13,5,0,1
0,170,212,37,6,4,,47,36,2,13,0,1
214,4,0,203,4,4,,7,44,43,5,0,1
213,2,0,204,5,5,,47,23,3,27,0,0
215,3,0,203,3,5,,37,0,13,50,0,0
214,5,0,196,4,10,,27,47,23,2,0,1
0,159,208,43,10,9,,22,47,28,3,0,0
0,154,218,53,1,4,,0,36,50,14,0,0
215,11,0,196,4,4,,19,50,31,0,0,0
0,203,217,2,2,6,,10,50,40,0,0,0
218,10,0,197,1,4,,50,49,0,0,0,1
208,198,3,0,7,13,,10,43,40,0,0,7
211,199,0,0,7,12,,4,36,44,12,2,2
206,198,3,0,9,13,,24,27,25,21,1,2
210,200,0,0,8,11,,7,45,43,4,0,1
209,206,0,0,9,5,,0,0,50,50,0,0
208,195,1,0,9,16,,12,48,38,2,0,0
208,194,1,0,9,17,,0,30,50,20,0,0
207,204,1,0,10,7,,1,45,49,5,0,0
207,204,1,1,10,6,,44,2,6,48,0,0
208,204,2,1,8,6,,50,34,0,16,0,0
0,71,209,125,9,15,,2,50,48,0,0,0
211,33,0,168,7,10,,28,0,22,50,0,0
211,201,0,0,7,10,,0,32,50,17,0,1
210,201,0,0,8,10,,13,44,37,6,0,0
200,193,0,0,18,18,,50,22,0,28,0,0
199,199,6,0,13,12,,32,50,17,0,1,0
200,154,14,47,4,10,,1,40,44,6,5,4
213,201,0,0,5,10,,11,46,34,0,5,4
213,201,0,0,5,10,,12,47,38,3,0,0
210,70,1,128,7,13,,49,1,1,1,49,0
0,78,216,125,2,8,,1,49,49,1,0,0
12,191,205,14,1,6,,50,1,0,49,0,0
79,1,138,201,1,9,,0,47,50,3,0,0
0,182,218,23,0,6,,4,49,46,1,0,0
217,3,2,202,0,6,,46,50,4,0,0,0
212,35,0,170,6,6,,1,46,49,3,0,1
198,153,10,52,10,6,,48,36,2,14,0,0
0,195,217,12,1,4,,0,47,50,3,0,0
0,183,215,23,3,5,,50,49,0,1,0,0
216,64,0,143,3,4,,50,1,0,49,0,0
208,203,0,0,10,7,,0,39,50,11,0,0
208,137,1,42,0,22,,0,46,50,4,0,0
208,195,2,4,1,5,,46,8,4,42,0,0
211,200,1,0,6,10,,49,1,1,1,49,0
216,194,0,12,2,4,,50,44,0,6,0,0
199,204,13,0,6,6,,43,2,7,48,0,0
3,197,214,11,1,2,,5,49,45,1,0,0
0,191,217,16,1,3,,48,1,2,49,0,0
214,58,3,150,1,2,,4,49,45,1,1,0
3,196,203,2,12,12,,49,50,0,0,1,0
207,197,0,0,11,13,,50,15,0,35,0,0
203,27,11,177,5,6,,49,50,0,0,1,0
27,168,190,37,1,5,,50,46,0,3,0,1
197,53,21,150,0,1,,50,50,0,0,0,0
213,202,1,0,4,8,,43,50,7,0,0,0
214,187,0,6,0,7,,29,50,21,0,0,0
216,186,0,23,2,1,,50,7,0,43,0,0
203,171,11,36,1,0,,27,0,23,50,0,0
0,207,218,2,0,1,,19,50,31,0,0,0
1,151,216,58,1,1,,47,48,3,0,0,2
218,187,1,22,0,1,,1,49,49,0,0,1
0,156,203,45,15,9,,49,49,1,0,0,1
1,169,206,31,12,10,,48,5,2,45,0,0
190,106,15,92,13,12,,2,48,46,1,2,1
211,1,0,199,7,10,,15,47,33,1,2,2
211,195,0,1,7,14,,50,46,0,0,0,4
195,137,14,56,1,0,,27,47,23,0,0,3
215,1,0,207,3,2,,0,48,50,0,0,1
213,6,3,203,3,1,,14,47,35,1,1,2
211,13,1,190,6,7,,11,49,39,0,0,1
204,76,4,132,1,0,,20,49,30,0,0,1
188,62,21,143,0,1,,34,3,16,46,0,1
182,9,27,197,9,4,,1,48,49,1,0,1
208,189,3,12,7,9,,44,39,6,10,0,1
212,201,0,0,6,9,,0,34,50,15,0,1
213,203,0,0,5,7,,32,44,18,6,0,0
214,203,0,0,4,7,,2,42,48,8,0,0
212,200,0,0,6,10,,25,2,25,48,0,0
187,159,12,41,1,0,,1,42,48,7,1,1
184,32,33,176,2,2,,40,7,8,43,2,0
216,2,0,206,3,2,,1,47,48,2,1,0
0,187,217,20,1,3,,3,45,46,5,1,0
215,13,0,196,4,1,,5,44,44,6,1,0
93,121,123,86,2,3,,0,35,49,15,1,0
0,188,217,20,1,2,,1,38,48,12,1,0
179,172,36,35,3,3,,0,41,49,9,1,0
193,141,11,57,1,0,,1,38,48,12,1,0
209,203,0,1,10,6,,2,37,47,13,1,0
212,205,0,0,7,5,,2,41,47,9,1,0
216,1,0,200,4,9,,0,43,49,7,1,0
183,183,0,0,36,27,,5,44,44,5,1,0
151,184,40,2,28,24,,1,42,48,8,1,0
212,206,2,0,5,4,,9,2,40,48,1,0
213,206,0,0,6,4,,49,50,0,0,1,0
52,119,165,89,3,2,,2,46,47,4,1,0
212,205,3,0,4,5,,49,50,0,0,1,0
212,3,4,204,3,3,,1,40,48,10,1,0
214,150,2,54,3,6,,2,44,47,6,1,0
214,202,0,0,5,8,,0,30,49,20,1,0
151,2,68,204,1,4,,6,42,43,8,1,0
181,3,37,203,2,4,,2,39,47,11,1,0
188,1,29,206,2,3,,0,45,49,5,1,0
200,44,16,164,3,2,,2,44,47,6,1,0
155,204,62,4,2,2,,0,43,49,7,1,0
207,205,8,1,4,4,,0,43,49,7,1,0
207,30,11,177,1,3,,2,44,47,6,1,0
215,207,2,1,2,2,,2,45,47,5,1,0
97,2,120,205,2,3,,2,41,47,8,1,1
2,204,217,4,1,2,,0,41,49,9,1,0
185,197,34,10,1,3,,0,41,48,9,2,0
1,196,204,4,14,10,,7,48,41,2,2,0
192,141,15,56,1,0,,0,41,49,9,1,0
208,3,0,176,12,31,,1,48,48,2,1,0
210,28,0,153,10,29,,4,46,46,4,0,0
207,196,0,0,12,13,,0,42,50,7,0,1
209,196,0,0,10,13,,0,42,50,7,0,1
212,202,0,0,7,7,,0,44,50,5,0,1
209,200,1,0,9,9,,0,45,50,4,0,1
198,161,10,26,11,22,,0,45,50,4,0,1
209,199,3,0,7,11,,0,43,50,6,0,1
196,202,14,1,9,7,,0,39,50,10,0,1
209,203,0,0,10,7,,0,43,50,6,0,1
200,171,13,29,1,0,,2,40,48,9,0,1
210,205,6,0,3,5,,44,50,4,0,2,0
214,205,2,0,3,5,,0,46,50,4,0,0
214,203,0,0,5,7,,49,0,1,50,0,0
214,201,0,1,5,8,,1,46,49,4,0,0
213,192,1,11,5,7,,0,46,50,4,0,0
0,125,214,83,5,2,,49,49,1,1,0,0
213,188,2,20,4,2,,50,12,0,38,0,0
211,203,0,0,0,1,,49,50,0,0,1,0
211,203,0,0,8,7,,49,2,0,47,1,1
209,203,0,0,10,7,,49,47,0,1,1,2
217,3,0,204,2,3,,48,47,0,1,2,2
217,4,1,203,2,3,,46,12,2,31,2,5
214,207,0,0,5,3,,7,50,39,0,4,0
4,45,212,162,3,3,,15,44,33,6,2,0
5,206,212,2,2,2,,33,7,15,43,2,0
61,3,155,205,3,2,,39,4,11,43,0,2
1,207,215,1,3,2,,50,45,0,1,0,3
198,141,19,67,2,2,,23,0,24,46,3,3
33,187,177,14,0,1,,45,47,0,0,5,2
44,108,165,95,10,7,,42,15,4,31,0,1
32,96,178,107,9,7,,3,38,46,11,1,0
47,194,163,8,9,8,,42,0,0,8,49,1
69,176,139,24,11,10,,49,2,0,46,1,1
28,187,178,14,13,9,,49,41,0,8,1,0
3,183,202,18,14,9,,21,1,0,29,48,1
136,7,70,193,13,10,,45,1,3,48,2,0
176,198,30,1,13,11,,1,48,48,1,1,0
192,184,0,0,27,26,,46,2,3,47,1,0
192,184,0,0,27,26,,31,4,1,19,45,0
192,184,0,0,27,26,,9,41,0,41,8,1
189,155,13,32,1,0,,8,43,0,42,6,1
213,4,2,199,5,7,,8,43,41,5,1,1
216,1,0,204,4,5,,47,4,2,45,1,0
206,202,0,0,14,8,,47,43,2,6,1,0
81,201,134,9,5,0,,50,47,0,0,0,2
214,209,1,0,5,1,,49,3,0,45,1,1
196,169,14,35,1,0,,47,42,0,1,3,6
215,207,1,0,4,3,,2,37,0,48,12,1
216,205,0,0,4,5,,0,43,0,50,6,1
210,201,2,0,8,9,,44,48,5,1,1,0
27,11,178,192,15,7,,1,44,47,5,2,0
44,39,163,168,13,3,,49,4,1,44,0,1
18,144,191,65,11,1,,50,49,1,0,0,0
8,82,201,128,11,0,,48,4,1,43,1,2
70,194,139,16,11,0,,48,15,1,2,34,0
9,92,202,117,9,1,,50,11,1,0,38,0
38,170,172,40,10,0,,49,46,1,1,3,0
198,204,13,2,9,4,,50,4,1,0,45,0
210,10,1,192,10,8,,0,42,0,50,7,1
117,205,87,1,16,4,,50,47,0,0,0,2
64,206,138,0,18,4,,50,47,0,0,0,2
90,200,111,2,19,8,,0,45,50,2,0,2
209,179,0,17,0,3,,50,3,0,44,0,2
206,200,0,0,14,10,,49,2,1,45,0,2
207,199,0,0,13,11,,50,47,0,0,0,2
193,170,12,30,1,1,,49,7,1,40,0,2
3,8,210,192,7,10,,49,5,1,42,0,2
35,123,181,84,4,3,,47,5,3,42,0,2
148,173,68,33,4,4,,44,5,4,42,2,2
13,130,202,76,5,4,,0,42,50,3,0,4
79,76,138,131,3,3,,1,34,49,10,0,5
61,24,156,182,3,4,,50,9,0,35,0,5
204,207,14,2,2,1,,39,3,8,45,3,1
193,166,13,37,1,0,,3,40,45,8,2,1
1,6,210,199,9,5,,3,0,45,48,2,1
214,206,0,3,6,1,,29,48,21,0,0,1
2,202,214,3,4,5,,33,46,17,2,0,1
0,6,216,199,4,5,,46,36,4,12,0,1
NA,NA,NA,NA,NA,NA,,44,4,6,44,0,1
200,1,19,208,2,1,,49,48,1,0,0,1
196,132,8,53,3,8,,4,38,46,10,0,1
206,113,2,75,0,6,,41,46,8,2,0,1
5,94,213,109,2,7,,18,49,0,32,0,1
206,90,11,113,3,7,,48,3,1,2,46,0
84,102,122,103,14,5,,6,6,44,42,0,1
22,148,189,54,9,8,,42,45,8,2,0,1
17,151,197,54,6,5,,47,5,3,42,0,1
192,177,16,31,1,0,,36,45,14,2,0,1
213,209,3,1,4,0,,50,49,1,0,0,0
196,99,16,109,8,2,,49,6,1,1,43,0
2,206,212,3,6,1,,49,26,1,22,0,1
5,209,212,1,3,0,,50,46,0,2,0,1
218,203,0,6,2,1,,47,40,2,7,1,2
6,182,212,28,2,0,,13,47,37,0,0,2
191,201,26,7,3,2,,50,46,0,2,0,1
14,147,204,61,2,2,,48,44,0,1,2,4
56,5,163,199,1,6,,49,45,0,0,1,4
67,3,152,205,1,2,,47,45,0,0,3,4
2,120,217,87,1,3,,48,47,0,0,2,2
202,203,16,3,2,4,,50,49,1,0,0,0
195,170,19,33,1,0,,50,40,0,8,0,1
216,10,1,197,3,3,,50,14,1,0,35,0
217,14,0,193,3,3,,48,47,0,2,2,0
0,167,219,40,1,3,,50,19,1,0,30,0
4,190,215,17,1,3,,49,15,0,30,1,4
216,15,4,193,1,2,,47,9,1,33,2,7
62,105,156,102,3,3,,46,13,1,27,3,9
189,184,18,11,13,15,,48,40,0,0,2,9
194,177,0,0,26,33,,48,39,0,0,2,10
198,178,0,0,22,32,,48,39,0,0,2,10
199,179,0,0,21,31,,47,9,1,26,2,14
87,169,127,34,6,7,,49,45,0,2,1,2
40,6,176,197,4,7,,49,2,1,1,47,0
15,172,203,35,3,3,,50,49,1,0,0,0
22,156,196,51,3,3,,16,8,1,34,41,0
64,203,152,5,4,2,,49,48,1,0,0,1
215,209,0,0,5,1,,50,46,0,1,0,2
180,199,35,10,5,1,,36,21,14,27,0,1
151,141,63,64,6,5,,18,46,32,1,0,2
0,140,218,65,2,5,,41,27,9,21,0,1
0,150,218,54,2,6,,49,44,1,4,0,1
67,172,150,34,3,4,,49,47,0,0,1,2
40,160,178,47,2,3,,49,48,0,0,1,1
20,4,196,202,4,4,,49,48,0,0,1,1
0,187,216,20,4,3,,46,2,2,46,2,1
172,161,46,46,2,3,,46,28,1,18,3,3
56,33,151,172,0,1,,48,36,2,12,0,1
206,200,1,5,0,1,,19,14,25,33,6,2
210,4,0,199,10,7,,50,49,1,0,0,0
216,2,0,203,5,5,,49,48,0,0,1,1
188,38,26,168,7,4,,47,49,0,0,3,0
1,187,211,17,8,6,,50,46,0,0,0,3
75,32,135,173,10,5,,50,47,0,0,0,2
2,136,212,70,6,4,,50,46,0,0,0,3
3,57,210,147,7,6,,50,46,0,0,0,3
17,198,199,8,5,4,,50,45,0,1,0,3
1,122,214,84,5,4,,50,47,0,0,0,2
0,162,202,43,18,5,,31,21,1,19,28,0
17,179,186,25,17,6,,44,30,4,19,2,0
19,198,181,6,20,6,,47,49,0,0,3,0
5,176,190,22,25,12,,50,49,1,0,0,0
212,194,1,2,1,2,,50,48,0,0,0,1
211,198,1,3,1,0,,48,39,1,2,10,0
