Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
NA,NA,NA,NA,NA,NA,,51,0,0,45,0,3
NA,NA,NA,NA,NA,NA,,0,44,50,1,1,3
1,198,225,0,2,6,,0,44,50,1,1,3
221,0,0,202,7,2,,50,2,0,44,1,2
224,0,0,195,4,9,,0,45,50,1,1,2
1,200,223,1,4,3,,50,2,0,45,1,1
218,197,4,0,6,7,,0,45,50,2,1,1
223,2,0,197,5,5,,20,41,30,3,1,4
0,94,219,96,9,14,,50,41,0,0,1,7
217,0,1,190,10,14,,46,41,4,0,1,7
0,191,219,1,9,12,,45,6,6,38,0,4
215,189,1,0,0,3,,6,39,45,5,0,4
206,185,0,0,22,20,,51,42,0,0,0,6
205,187,0,0,23,18,,3,41,48,1,0,6
221,1,0,195,7,9,,51,8,0,34,0,6
0,200,221,1,7,4,,0,38,51,5,0,5
2,197,209,0,17,8,,46,2,4,41,1,5
2,192,215,0,11,13,,38,26,13,17,0,5
213,190,0,0,15,15,,4,31,47,14,0,3
216,185,1,5,0,8,,50,1,1,44,0,3
214,200,0,0,14,5,,1,39,50,6,0,3
214,196,1,1,0,3,,28,33,23,11,0,4
217,188,0,0,0,11,,45,22,6,23,0,3
221,200,1,0,6,5,,48,2,3,44,0,2
223,200,0,0,5,5,,49,1,2,45,0,2
219,198,5,2,4,5,,2,44,49,1,0,3
0,123,222,78,6,4,,50,3,1,43,0,2
0,196,222,3,6,6,,50,19,1,27,0,2
0,196,220,1,8,8,,51,47,0,0,0,1
219,11,2,189,8,5,,50,44,0,0,1,4
1,191,219,7,9,7,,49,41,0,0,2,7
190,148,31,51,8,6,,50,43,0,0,1,5
215,187,0,0,13,18,,48,43,0,0,3,5
221,186,0,0,7,19,,49,27,1,18,1,3
220,194,0,0,8,11,,47,37,0,0,4,11
220,191,2,3,6,11,,48,25,0,1,3,22
23,151,195,35,0,1,,47,27,0,1,4,20
12,152,204,33,12,20,,47,41,0,0,4,7
198,42,16,139,14,24,,49,44,0,0,2,4
218,188,0,0,10,17,,51,4,0,43,0,1
218,193,0,0,10,12,,0,43,48,2,3,3
219,193,0,0,9,12,,0,44,48,2,3,2
206,167,12,27,10,11,,48,46,0,0,3,2
213,36,13,166,2,3,,48,42,0,0,3,6
220,195,4,6,4,4,,6,42,44,3,1,3
224,201,0,0,4,4,,47,12,4,34,0,2
220,195,2,0,6,10,,2,39,49,7,0,2
0,63,222,135,1,0,,9,42,41,5,1,1
202,157,12,36,1,0,,1,33,48,12,2,3
218,195,0,0,10,10,,47,43,0,0,4,5
220,197,0,0,8,8,,48,16,3,29,0,3
221,185,0,0,0,7,,51,45,0,0,0,3
