Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
NA,NA,NA,NA,NA,NA,,42,45,0,0,7,4
NA,NA,NA,NA,NA,NA,,45,46,2,0,2,3
222,0,0,197,11,5,,8,46,39,1,2,2
0,199,232,0,0,3,,17,35,30,11,0,1
232,3,0,195,0,4,,7,38,41,9,1,2
230,196,0,0,2,6,,25,0,23,47,1,2
232,198,0,1,1,3,,42,46,6,0,1,3
232,198,0,0,1,4,,44,41,0,0,5,8
232,48,0,152,1,2,,38,41,6,0,5,8
0,200,232,0,1,2,,49,47,0,0,0,2
232,0,0,200,1,2,,49,47,0,0,0,2
0,195,232,0,1,7,,47,46,1,1,1,2
231,8,0,188,2,6,,40,47,5,0,4,2
2,196,230,0,1,6,,45,6,2,42,2,1
231,68,0,128,2,6,,38,48,9,0,2,1
232,0,0,197,1,5,,2,47,45,1,2,1
0,144,233,54,0,4,,48,7,0,41,1,1
233,82,0,116,0,4,,5,21,43,27,1,1
11,178,220,18,2,6,,46,48,2,0,1,1
216,37,16,158,1,7,,49,48,0,0,0,1
230,193,0,0,3,9,,49,47,0,0,0,2
1,195,229,0,3,7,,47,1,1,46,1,2
231,24,0,170,2,8,,5,47,43,0,1,2
229,189,0,0,4,13,,28,0,20,47,1,2
227,187,0,1,4,13,,18,0,28,46,3,3
228,187,0,0,4,14,,46,1,0,46,3,2
223,193,0,0,9,9,,45,46,0,0,4,3
223,190,0,2,9,10,,41,1,4,45,4,3
224,1,0,191,8,10,,45,43,0,0,4,6
223,0,0,190,9,12,,42,1,3,45,4,3
0,186,232,9,1,7,,46,46,0,0,3,3
232,124,0,71,1,7,,3,45,42,0,4,4
231,190,0,0,2,12,,37,42,0,0,12,7
0,184,228,5,5,13,,38,47,10,0,1,2
231,0,0,194,2,8,,48,47,0,0,1,2
230,0,0,194,3,8,,48,47,0,0,1,2
228,0,0,193,4,9,,1,46,46,2,2,1
0,194,231,1,1,7,,44,2,3,45,2,2
230,0,0,195,2,7,,39,47,8,0,2,2
228,36,4,159,1,7,,48,47,0,0,1,2
231,191,0,0,2,11,,49,48,0,0,0,1
226,190,0,0,6,12,,45,47,3,0,1,2
223,0,0,190,10,11,,0,0,48,47,1,2
222,191,0,0,10,11,,2,46,45,1,2,2
224,190,0,1,8,11,,37,44,10,4,2,1
224,186,0,0,9,16,,23,46,25,1,1,2
230,197,0,0,3,5,,48,46,0,0,1,3
231,197,0,0,2,5,,33,46,15,0,1,3
233,198,0,0,0,4,,46,46,0,0,3,3
228,195,0,0,4,7,,45,46,0,0,4,3
228,1,1,190,3,11,,7,48,33,0,9,1
229,0,0,189,3,13,,2,43,31,2,16,4
227,1,0,188,5,13,,49,46,0,0,0,3
223,0,1,188,8,14,,10,46,37,0,2,3
0,185,224,2,8,15,,45,47,2,0,2,2
